"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"Hsp70Bc",0,-5.95107387252976,0.016,0.488,0
"stv",1.03981377987046e-293,-2.34268687714111,0.462,0.915,1.3036145358236e-289
"Jon99Cii",5.82485700969633e-267,-2.827098779396,0.163,0.67,7.30262323305629e-263
"lncRNA:alphagamma-element:CR32865",9.55832621645488e-260,-3.20160418321469,0.263,0.747,1.19832735775695e-255
"LysD",1.19161598780565e-215,-2.73190418269075,0.134,0.568,1.49392896391195e-211
"rdgA",2.29553440329517e-168,1.20988113866367,0.974,0.828,2.87791148141116e-164
"Jon25Biii",6.99351096233807e-149,-4.64162724242304,0.009,0.189,8.76776469348324e-145
"DnaJ-1",1.66446492486875e-135,-2.22821385969843,0.172,0.523,2.08673967630795e-131
"CG12374",2.62229813579964e-131,-2.66617652915761,0.07,0.349,3.28757517285201e-127
"Cp36",2.43179748774817e-124,-1.90692987929755,0.169,0.514,3.04874451038988e-120
"mwh",7.74514674470807e-115,-3.02131110696519,0.04,0.255,9.71009047384051e-111
"Cp15",1.23254945946815e-106,-1.22679870823069,0.568,0.833,1.54524725733522e-102
"CG15309",2.36031518069626e-102,-2.3647354714293,0.071,0.312,2.95912714203891e-98
"CG11911",1.9771818047648e-101,-3.39532355985845,0.019,0.18,2.47879282863363e-97
"CG6767",1.6028550289333e-97,1.33056115393262,0.81,0.529,2.00949934977368e-93
"CG4928",8.11643274832345e-95,1.07687800150527,0.914,0.73,1.01755717365731e-90
"Hsp70Bb",4.57624683624513e-94,-2.88347935744901,0.047,0.245,5.73724065860052e-90
"Prm",8.59253485414748e-91,1.45272492242335,0.72,0.408,1.07724609466447e-86
"Cp19",9.61738534392707e-91,-1.77949296500243,0.191,0.486,1.20573160056814e-86
"Jon99Fii",2.27462239630482e-88,-3.70686752554202,0.012,0.14,2.85169409824735e-84
"Ttd14",2.03772136948264e-87,1.11123569697793,0.855,0.62,2.55469128092039e-83
"REPTOR",4.38017383759355e-80,-1.17814376167942,0.467,0.741,5.49142394019103e-76
"CG4291",7.30749181131275e-80,6.4111269796683,0.322,0.006,9.1614024838428e-76
"RpL41",4.29513352981518e-79,-1.1896424634946,0.461,0.725,5.38480890632929e-75
"Jon99Fi",8.7588456241783e-77,-2.3107373767582,0.064,0.26,1.09809647590323e-72
"lncRNA:CR43836",7.56191808528089e-71,1.54094419984461,0.598,0.271,9.48037670351665e-67
"Octalpha2R",1.50173692621708e-67,-1.61096046841497,0.187,0.439,1.88272758439836e-63
"CG5830",3.08905814080239e-64,1.84148226246802,0.48,0.171,3.87275219112396e-60
"Vm26Aa",8.19513356916225e-61,-1.19831826290371,0.379,0.621,1.02742389556587e-56
