"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"Jon99Cii",0,-2.66391894909888,0.171,0.665,0
"LysD",0,-2.67930403752548,0.126,0.554,0
"Cp36",0,-1.9456211488538,0.162,0.502,0
"CG12374",0,-2.8689062367666,0.07,0.407,0
"Cp19",0,-1.71838022553949,0.204,0.512,0
"lncRNA:alphagamma-element:CR32865",0,-2.86650763737341,0.227,0.518,0
"Cp15",0,-1.16550234402332,0.567,0.85,0
"Hsp26",0,-1.43595010762124,0.288,0.56,0
"Hsp70Bc",0,-3.14764930388386,0.083,0.348,0
"Hr38",0,-1.81171286274664,0.146,0.384,0
"Vm26Aa",0,-1.06600211539555,0.391,0.629,0
"CG4291",0,5.56137742183421,0.243,0.009,0
"CG5830",0,1.57295704593433,0.512,0.283,0
"stv",0,-1.58752000762337,0.461,0.688,0
"RpL41",0,-0.926085982156691,0.52,0.737,0
"CG15309",0,-2.38831516990676,0.065,0.282,0
"Cp38",0,-1.78965208315703,0.109,0.322,0
"Jon99Fi",0,-2.18400596715964,0.065,0.261,0
"mwh",0,-2.63721463536236,0.046,0.238,0
"Jon25Biii",0,-4.67500373342205,0.008,0.193,0
"CG10077",0,1.06084278950964,0.731,0.55,0
"CG11911",0,-3.42856856891289,0.02,0.2,0
"Jon99Fii",0,-3.79308902681391,0.012,0.156,0
"Yp2",3.05525530074341e-301,-0.943163156317403,0.479,0.688,3.83037357054202e-297
"Hsp70Ab",4.5004732950195e-301,-1.84120903975212,0.141,0.327,5.64224336996595e-297
"RpLP1",2.33115989650824e-297,-1.05596851951946,0.353,0.572,2.92257516225238e-293
"LysB",5.038108190115e-278,-2.4712628491059,0.027,0.147,6.31627623794718e-274
"DnaJ-1",5.68625055423494e-270,-1.29147584893038,0.247,0.449,7.12885231984434e-266
"Hsp70Bb",4.32891811625939e-251,-2.43758438127623,0.059,0.194,5.4271646423544e-247
"Yp1",1.33208867844275e-239,-0.794312762471337,0.622,0.789,1.67003957616368e-235
"Bace",3.25022728539382e-231,-1.51654844057794,0.084,0.231,4.07480994769823e-227
"REPTOR",3.52812454945364e-227,-0.888917794774633,0.475,0.651,4.42320974765003e-223
"CG10472",7.39272561462569e-227,-1.54552860741834,0.083,0.227,9.26826010305623e-223
"Jon65Aiv",1.30988052898348e-214,-0.903669030456138,0.324,0.515,1.64219721918658e-210
"Nmdmc",1.71172203110447e-214,-3.70026516069344,0.028,0.126,2.14598591039567e-210
"CG43134",6.03855266437921e-213,-1.30413396704906,0.134,0.294,7.57053347533222e-209
"Yp3",4.11116828833299e-209,-0.581456554154239,0.61,0.77,5.15417168308307e-205
"CG5399",8.05420907177918e-209,1.65117328528099,0.252,0.09,1.00975619132896e-204
"Hsp27",7.78906609616343e-206,-1.25955737565803,0.242,0.414,9.76515216476009e-202
"Octalpha2R",8.07897518279954e-205,-1.28391178901156,0.167,0.331,1.01286111866758e-200
"RpS2",1.77886464654992e-201,-0.862973369809612,0.399,0.576,2.23016260737963e-197
"betaTry",1.79653389396596e-200,1.36153411042451,0.315,0.142,2.25231454286513e-196
"yip7",3.04552970759588e-196,-0.907529822648554,0.292,0.475,3.81818059441295e-192
"Jon99Ciii",7.60625155254529e-195,-1.69468162730707,0.058,0.175,9.53595757142603e-191
"Cp16",3.58783456560151e-194,-1.31045731742425,0.115,0.261,4.49806819489461e-190
"sr",6.03333236939901e-191,-1.70831692921857,0.079,0.207,7.56398879151554e-187
"Cp18",2.9215423540336e-186,-1.1802772782605,0.158,0.316,3.66273764925193e-182
"MFS17",8.41521907574656e-182,0.595111517049019,0.741,0.647,1.05501601552635e-177
"RpLP2",2.04470612897857e-179,-0.618760975559659,0.588,0.748,2.56344807390043e-175
"Hsp83",5.46524554066146e-178,-0.889048325602498,0.456,0.597,6.85177833432727e-174
"CG17571",8.33238014445056e-178,-1.98825182793359,0.032,0.125,1.04463049870977e-173
"RpL37a",6.85191638317338e-170,-0.83994223571802,0.342,0.508,8.59024756958447e-166
"Vm34Ca",3.23586995726782e-165,-0.627100526839271,0.57,0.718,4.05681016542667e-161
"Hsp68",5.61443887777118e-164,-1.34974122362929,0.12,0.252,7.03882202106173e-160
"Hsp23",1.15014037502144e-160,-1.74031110419687,0.065,0.172,1.44193098816438e-156
"RpS29",1.79849809670607e-159,-0.818696983716173,0.321,0.483,2.2547770638404e-155
"fabp",4.15191973371516e-159,-1.22677548597367,0.111,0.239,5.2052617701587e-155
"GstD1",3.8868743298789e-157,-1.03038281690586,0.305,0.456,4.87297434736917e-153
"mew",6.50783869612033e-155,2.1039436093636,0.322,0.183,8.15887737332606e-151
"Vm26Ab",1.74465733128779e-153,-0.845069258316996,0.312,0.471,2.1872768962355e-149
"RpS16",3.8694662511666e-149,-0.690745552116375,0.436,0.59,4.85114983908756e-145
"eEF1alpha1",2.41527773676907e-148,-0.451390405024656,0.751,0.851,3.02803369858738e-144
"Trim9",6.0725940666555e-148,2.6243763946111,0.171,0.058,7.613211181366e-144
"CG5966",3.97808488193448e-144,-2.84679574856834,0.028,0.105,4.98732501648125e-140
"RpL27",5.78799487083398e-144,-0.734646786520821,0.364,0.519,7.25640916956456e-140
"RpL14",2.54323792563575e-143,-0.72473716044232,0.404,0.554,3.18845738736954e-139
"Thor",7.69473143215063e-143,1.4576959416679,0.485,0.345,9.64688479648724e-139
"Shrm",5.80937954766833e-142,1.2787694162421,0.294,0.157,7.28321913891178e-138
"RpS27",1.09221389800343e-137,-0.738853788037106,0.37,0.517,1.3693085639269e-133
"Lip4",1.32833194671214e-137,-2.70878747675112,0.032,0.107,1.66532976159301e-133
"RpL36A",2.96792123684906e-132,-0.73716383792166,0.324,0.472,3.72088285463767e-128
"CG15617",5.16984869901417e-131,2.8516919948361,0.122,0.03,6.48143931395406e-127
"RpL37A",1.20684588384743e-130,-0.868686519751151,0.226,0.365,1.51302268457952e-126
"RpL27A",1.28406715558884e-129,-0.569745198993455,0.556,0.684,1.60983499296173e-125
"rdgA",2.86876423403938e-125,0.836385588066908,0.729,0.673,3.59656972021517e-121
"CG45080",4.26564698396411e-122,-0.782482076354536,0.273,0.412,5.3478416237958e-118
"RpS8",4.8048696714927e-120,-0.570463284768691,0.545,0.671,6.0238651071504e-116
"RpS10b",4.93352160492294e-119,-0.651352134969935,0.395,0.534,6.18515603609189e-115
"Mthfs",6.13164502285114e-119,2.5219212501122,0.128,0.038,7.68724336514847e-115
"CG13323",6.77008879276006e-118,1.56527552276654,0.149,0.051,8.48766031948329e-114
"RpL18A",1.46461110640154e-114,-0.606976100755154,0.421,0.557,1.83618294409561e-110
"RpS27A",2.64853904344702e-113,-0.550825040756862,0.543,0.656,3.32047339876953e-109
"RpS15",3.24051313695185e-113,-0.58678187858009,0.439,0.575,4.06263131979654e-109
"RpS28b",8.09079170760427e-112,-0.749838634800924,0.271,0.403,1.01434255638235e-107
"mt:CoIII",4.09026753975993e-110,-0.536272800617129,0.544,0.679,5.12796841459702e-106
"Rel",7.22590480314212e-108,-1.96001447159379,0.049,0.124,9.05911685169927e-104
